年月日,お引出し,お預入れ,残高,お取り扱い内容,ラベル,メモ,,売上入金（税込）,9119280,,,事業主貸,23117
2024/12/31,220,,"¥4,541,965",振込手数料,事業主貸,,,,,,,,
2024/12/31,400000,,"¥4,542,185",パソコン振込 ﾐﾈﾉ ﾏｻｼ,事業主貸,,,,,,,,
2024/12/27,330148,,"¥4,942,185",ﾗｸﾃﾝｶ-ﾄﾞｻ-ﾋﾞｽ,事業主貸,,,,,,,,
2024/12/26,1740,,"¥5,272,333",ｾｲｶﾂｸﾗﾌﾞ(SMCC,事業主貸,,,,,,,,
2024/12/26,23000,,"¥5,274,073",ｺｸﾐﾝﾈﾝｷﾝｷｷﾝﾚﾝｺﾞｳｶｲ(ｶ,事業主貸,,,,,,,,
2024/12/26,432992,,"¥5,297,073",ﾐﾂｲｽﾐﾄﾓｶ-ﾄﾞ (ｶ,事業主貸,,,,,,,,
2024/12/25,,3623635,"¥5,730,065",振込　ﾍﾙｽﾃﾂｸﾊﾌﾞ(ｶ,事業主借,,,,,,,,
2024/12/23,200000,,"¥2,106,430",カード　ｾﾌﾞﾝBK07LZ,事業主貸,,,,,,,,
2024/12/18,840000,,"¥2,306,430",ｼﾖｳｷﾎﾞｶｹｷﾝ,事業主貸,,,,,,,,
2024/12/17,220,,"¥3,146,430",振込手数料,事業主貸,,,,,,,,
2024/12/17,400000,,"¥3,146,650",パソコン振込 ﾐﾈﾉ ﾏｻｼ,事業主貸,,,,,,,,
2024/12/9,,2000000,"¥3,546,650",振込　ﾍﾙｽﾃﾂｸﾊﾌﾞ(ｶ,事業主借,,,,,,,,
2024/12/7,150000,,"¥1,546,650",カード　ｾﾌﾞﾝBK0ADR,事業主貸,,,,,,,,
2024/11/28,200000,,"¥1,696,650",カード　ﾛ-ｿﾝ222918,事業主貸,,,,,,,,
2024/11/27,200015,,"¥1,896,650",ﾗｸﾃﾝｶ-ﾄﾞｻ-ﾋﾞｽ,事業主貸,,,,,,,,
2024/11/27,176750,,"¥2,096,665",ｼﾞﾔﾂｸｽ,事業主貸,,,,,,,,
2024/11/26,10396,,"¥2,273,415",ｾｲｶﾂｸﾗﾌﾞ(SMCC,事業主貸,,,,,,,,
2024/11/26,23000,,"¥2,283,811",ｺｸﾐﾝﾈﾝｷﾝｷｷﾝﾚﾝｺﾞｳｶｲ(ｶ,事業主貸,,,,,,,,
2024/11/26,345512,,"¥2,306,811",ﾐﾂｲｽﾐﾄﾓｶ-ﾄﾞ (ｶ,事業主貸,,,,,,,,
2024/11/24,220,,"¥2,652,323",振込手数料,事業主貸,,,,,,,,
2024/11/24,2000000,,"¥2,652,543",パソコン振込 ﾍﾙｽﾃﾂｸﾊﾌﾞ(ｶ,事業主貸,,,,,,,,
2024/11/20,200000,,"¥4,652,543",カード　ｾﾌﾞﾝBK0RNP,事業主貸,,,,,,,,
2024/11/15,220,,"¥4,852,543",振込手数料,事業主貸,,,,,,,,
