発生日,取引先,税込金額,摘要,インボイス登録番号,仕訳,ファイル名
2024/11/21,オニヨメ酒場,3650,飲食代,T5810653947359,交際費,241230003153561.JPG
2024/11/06,東海旅客鉄道株式会社,6560,JR乗車券類 2枚,T3180001031569,旅費交通費,241230002332781.JPG
2024/11/16,Instagram/kyoyoka,2650,クレジット決済,T7180003020847,支払手数料,241230002544711.JPG
2024/11/17,報徳自動車株式会社,800,タクシー料金,T802100103428,旅費交通費,241230003302356.JPG
2024/1/29,東海旅客鉄道,44006,乗車券類,T3180001031569,旅費交通費,241230003115686.JPG
2024/11/11,RED'S BURGER DINER,7250,飲食代,T1190001029093,交際費,241230002754385.JPG
2024/11/25,ドトールコーヒーショップ シーバンスア・モール店,1030,カフェラテ、アイスコーヒー等飲料3点,T5010002022499,会議費,241230002607911.JPG
2024/11/24,東海旅客鉄道株式会社,18400,乗車券類（クレジット払い）,T3180001031569,旅費交通費,241230003034098.JPG
2024/11/7,東海旅客鉄道株式会社,6560,JR乗車券類(4枚),T3180001031569,旅費交通費,241230002403139.JPG
2024/11/10,東海旅客鉄道株式会社,13050,JR乗車券類（クレジット扱い）,T3180001031569,旅費交通費,241230003705801.JPG
2024/11/01,宝交通(株),860,タクシー運賃,T3180001022171,旅費交通費,241230003551422.JPG
2024/11/16,株式会社ソロピッツァナポリ,11011,イタリアンレストランでの飲食（ピザ、パスタ、デザート等）,T6180001113182,交際費,241230002656976.JPG
2024/1/22,十字屋セブンマルシェ,7419,食料品購入,T6140001055008,消耗品費,241230003451812.JPG
2024/11/10,東海旅客鉄道株式会社,9300,乗車券類（クレジット扱い）,T3180001031569,旅費交通費,241230003639928.JPG
2024/01/31,東海旅客鉄道,440,JR乗車券類,T3180001031569,旅費交通費,241230003150220.JPG
2024/11/06,ケイエム大箱根自動車株,800,タクシー運賃,T1021001032608,旅費交通費,241230003010765.JPG
2024/11/22,株式会社 With Midwife,10000,イベント会費,T1120001224840,会議費,241230002452139.JPG
2024/11/1,令真,3520,すきやき丼と串カツ等の飲食代,T118000L060289,交際費,241230003344371.JPG
2024/11/20,有限会社***,750,Cカード分,なし,支払手数料,241230003200268.JPG
2024/1/6,富士急行株式会社,1300,バス料金,T4000002008346,旅費交通費,241230003232792.JPG
2024/11/25,東日本旅客鉄道株式会社,1730,JR乗車料金（クレジットカード決済）,T9011001029597,旅費交通費,241230002554203.JPG
2024/11/10,東海旅客鉄道株式会社,13050,乗車券（クレジット払い）,T3180001031569,旅費交通費,241230003714763.JPG
2024/11/20,太陽自動車株式会社,800,タクシー運賃,T402100103286,旅費交通費,241230002423698.JPG
2024/1/10,東海旅客鉄道株式会社,14720,JR乗車券類（クレジット扱い）,T3180001031569,旅費交通費,241230003649539.JPG
2024/11/2,東海旅客鉄道株式会社,3280,JR乗車券類 2枚,T3180001031569,旅費交通費,241230002350954.JPG
2024/11/18,東海旅客鉄道株式会社,6560,JR乗車券類 4枚,T3180001031569,旅費交通費,241230002335328.JPG
2024/1/10,東海旅客鉄道株式会社,9300,JR乗車券（クレジット払い）,T3180001031569,旅費交通費,241230003631899.JPG
2024/01/01,名古屋鉄道株式会社,193,乗車券,T7180000504914,旅費交通費,241230002732289.JPG
2022/1/25,ベイクォーター,280,収納払込料金,なし,支払手数料,241230003018314.JPG
2024/11/17,名鉄酒店DATSUTA,3280,極上胡麻油・クリセン購入,T2180001042708,消耗品費,241230003445569.JPG
2024/11/22,ぼてぢゅう 新大阪駅店,7810,飲食代（牛にこみ、豚とんぺい焼、とん玉など）,T2120001004614,交際費,241230003523363.JPG
2024/11/15,近畿日本鉄道株式会社,1280,乗車券購入,T5120001183629,旅費交通費,241230003322540.JPG
2024/11/16,つばめタクシーグループ（ひかり交通株式会社）,1220,タクシー利用料,T1180001026819,旅費交通費,241230003505168.JPG
2024/11/26,東海旅客鉄道株式会社,3280,JR乗車券類 (10022 2枚),T3180001031569,旅費交通費,241230002408605.JPG
2024/1/11,東海旅客鉄道株式会社,1670,JR乗車券類,T11315226-0013,旅費交通費,241230002724814.JPG
2024/1/1,KASHO SANZEN,4520,飲食代,T5011010102552,交際費,241230002815035.JPG
2024/11/02,東海旅客鉄道株式会社,3280,JR乗車券類,T3180001031569,旅費交通費,241230002357761.JPG
2024/11/02,Basis Point,2060,店舗での購入,T3058675037,消耗品費,241230003247129.JPG
2024/1/10,TIVOLI,5940,飲食代,T1101011431,会議費,241230003549161.JPG
2024/11/1,幸楽苑,2330,野菜の担々麺とチャーシュー、味噌非か,T81800103053,会議費,241230002707823.JPG
2024/11/10,東海旅客鉄道株式会社,12850,JR乗車券類（クレジット扱い）,T3180001031569,旅費交通費,241230003658217.JPG
2024/01/16,コメダ大須本店,2510,飲食代,なし,会議費,241230002746107.JPG
2024/11/25,東海旅客鉄道株式会社,3280,JR乗車券（クレジット扱い）,T3180001031569,旅費交通費,241230003301153.JPG
2024/11/29,箱根七湯,8001,メニューオーダー,T602100103428,会議費,241230003207125.JPG
2024/11/22,梅田自動車交通株式会社,3700,タクシー運賃・迎車料,T612000103231,旅費交通費,241230002430845.JPG
2024/11/27,回転寿司皇鮨,6120,飲食代,T5021001043601,交際費,241230002524819.JPG
2024/11/17,LogLog,2580,お食事代,T818000114960,会議費,241230003530602.JPG
2024/11/10,東海旅客鉄道株式会社,9300,乗車券類（クレジット払い）,T3180001031569,旅費交通費,241230003722645.JPG
2024/11/8,株式会社N.A.Cダイニング,12540,炭火焼肉ホルモン添場での飲食,T1-0210-0105-6516,交際費,241230002458651.JPG
2024/11/15,つばめ自動車株式会社,950,タクシー利用料,なし,旅費交通費,241230002438199.JPG
2024/2/21,東海旅客鉄道株式会社,530,乗車券,T3180001031569,旅費交通費,241230002917524.JPG
