発生日,取引先,税込金額,摘要,インボイス登録番号,仕訳,ファイル名
2024/12/23,GO株式会社,800,タクシー利用料金,T201150101589６,旅費交通費,GO領収書_20241223_1849.pdf
2024/12/28,茉莉花,7660,飲食代,なし,交際費,241230005347797.JPG
2024/12/19,高収書,2801,飲食代,T5020018329,会議費,241230005702000.JPG
2024/12/21,東海旅客鉄道株式会社,11300,乗車券購入,T3180001031569,旅費交通費,241230010108113.JPG
2021/12/20,アインズ,367,日用品購入,T8180004203,消耗品費,241230005754681.JPG
2024/12/02,JR,3280,JR切符代,T9911001022557,旅費交通費,241230010125494.JPG
2024/12/17,西武鉄道株式会社,127,電車運賃,T5120011863629,旅費交通費,241230005721623.JPG
2024/12/19,上島珈琲店,980,飲食代,T1991000134416,会議費,241230005850776.JPG
2024/12/22,東海旅客鉄道株式会社,3740,乗車券（クレジット取引）,T31800010315B9,旅費交通費,241230005433664.JPG
2024/12/12,株式会社ACダイニング,8060,飲食代,T1021001056516,交際費,241230010333503.JPG
2024/12/14,ぐるりぐるり,3645,お食事代,T1021001034562,交際費,241230005922484.JPG
2024/12/13,東海旅客鉄道株式会社,8900,JR乗車券（小田原駅発行）,T3180001031569,旅費交通費,241230005601780.JPG
2024/12/02,個人,13800,講演謝礼,なし,支払手数料,241230010132204.JPG
2024/12/20,近畿日本鉄道株式会社,1280,乗車券購入,T5120001183629,旅費交通費,241230005633727.JPG
2024/12/13,東海旅客鉄道株式会社,3280,JR乗車券2枚（小田原駅発行）,T31300010315692,旅費交通費,241230005928708.JPG
2024/12/20,青山,20,電車運賃,なし,旅費交通費,241230005646033.JPG
2024/12/05,東日本旅客鉄道株式会社,3280,JR乗車券2枚購入,T9011001029597,旅費交通費,241230010318641.JPG
2024/12/11,東海旅客鉄道株式会社,3280,JR乗車券2枚購入（40109）,T3180001031569,旅費交通費,241230010005870.JPG
2024/12/19,カレーハウスCoCo壱番屋,330,飲食代,T5999785625,会議費,241230005817664.JPG
2024/12/16,GO株式会社,1200,タクシー料金,T201150101589G,旅費交通費,GO領収書_20241216_0738.pdf
2024/12/10,GO株式会社,500,タクシー料金,T201501015896,旅費交通費,GO領収書_20241210_1053.pdf
2021/12/19,なか卯,1900,飲食代,T3452044300001,会議費,241230005830340.JPG
2024/11/11,近畿日本鉄道株式会社,1280,乗車券購入,T5120001183629,旅費交通費,241230011119620.JPG
2024/12/13,GO株式会社,800,タクシー利用料,T201150101589G,旅費交通費,GO領収書_20241213_2134.pdf
