No,利用日,利用店名,利用額,取引種類,確定／未確定,領収書添付状況,領収書ご利用用途,最終添付日,利用報告,カード名,カード下4桁
1,2025-03-28,"GITHUB, INC. github",3992,売上,確定,未添付,,"",未申請,github,5530
2,2025-03-27,ﾏｲｸﾛｿﾌﾄ 馬場 - Office365,2130,売上,確定,添付済み,,2025-04-05,未申請,馬場 - Office365,7548
3,2025-03-27,"CURSOR, AI POWERED IDE HTH - Cursor",36192,売上,確定,添付済み,,2025-04-05,未申請,HTH - Cursor,7239
4,2025-03-26,"CURSOR, AI POWERED IDE HTH - Cursor",393,売上,確定,添付済み,,2025-04-05,未申請,HTH - Cursor,7239
5,2025-03-25,FIGMA 嶺野 - Figma,3300,売上,確定,添付済み,,2025-04-05,未申請,嶺野 - Figma,1500
6,2025-03-22,SLACK T074YH6GLLE Slack,11303,売上,確定,添付済み,,2025-04-06,未申請,Slack,3324
7,2025-03-21,鳥貴族　大船東口店 コーポレートカード,5550,売上,確定,未添付,,"",未申請,コーポレートカード,4538
8,2025-03-21,TERRASTRUCT.COM ビトル - D2 Studio,3725,売上,確定,未添付,,"",未申請,ビトル - D2 Studio,8001
9,2025-03-20,"GITHUB, INC. 嶺野 - Github",1652,売上,確定,添付済み,,2025-04-06,未申請,嶺野 - Github,7161
10,2025-03-20,FIGMA 馬場 - Figma,825,売上,確定,添付済み,,2025-04-05,未申請,馬場 - Figma,7964
11,2025-03-19,魚商　小田原六左衛門／ＮＦＣ コーポレートカード,1072,売上,確定,未添付,,"",未申請,コーポレートカード,4538
12,2025-03-19,ＪＲ東海 コーポレートカード,3810,売上,確定,未添付,,"",未申請,コーポレートカード,4538
13,2025-03-19,ローソン コーポレートカード,1030,売上,確定,未添付,,"",未申請,コーポレートカード,4538
14,2025-03-19,ＪＲヒガシニホン　ミドリノマドグチ コーポレートカード,3280,売上,確定,未添付,,"",未申請,コーポレートカード,4538
15,2025-03-19,ANTHROPIC: CLAUDE TEAM 開発 - Claude Team,4247,売上,確定,未添付,,"",未申請,開発 - Claude Team,8440
16,2025-03-17,CLAUDE.AI SUBSCRIPTION 嶺野 - Claude,2981,売上,確定,添付済み,,2025-04-06,未申請,嶺野 - Claude,6904
17,2025-03-17,ANTHROPIC: CLAUDE TEAM 開発 - Claude Team,22357,売上,確定,未添付,,"",未申請,開発 - Claude Team,8440
18,2025-03-15,OPENAI *CHATGPT SUBSCR 小貫 - ChatGPT,3279,売上,確定,添付済み,,2025-04-14,未申請,小貫 - ChatGPT,5096
19,2025-03-14,ＪＲ東海 コーポレートカード,6560,売上,確定,未添付,,"",未申請,コーポレートカード,4538
20,2025-03-14,ローソン コーポレートカード,1030,売上,確定,未添付,,"",未申請,コーポレートカード,4538
21,2025-03-12,ｽﾃ-ｼﾖﾝﾜ-ｸ コーポレートカード,1100,売上,確定,添付済み,,2025-04-06,未申請,コーポレートカード,4538
22,2025-03-12,ｽﾃ-ｼﾖﾝﾜ-ｸ コーポレートカード,550,売上,確定,添付済み,,2025-04-06,未申請,コーポレートカード,4538
23,2025-03-12,XAI LLC 嶺野 - Grok,4445,売上,確定,未添付,,"",未申請,嶺野 - Grok,2295
24,2025-03-11,魚商　小田原六左衛門／ＮＦＣ コーポレートカード,1126,売上,確定,未添付,,"",未申請,コーポレートカード,4538
25,2025-03-11,ＪＲ東海 コーポレートカード,6560,売上,確定,未添付,,"",未申請,コーポレートカード,4538
26,2025-03-11,ローソン コーポレートカード,592,売上,確定,未添付,,"",未申請,コーポレートカード,4538
27,2025-03-10,デニーズ小田原荻窪店 コーポレートカード,4961,売上,確定,未添付,,"",未申請,コーポレートカード,4538
28,2025-03-09,OPENAI *CHATGPT SUBSCR 共通 - ChatGPT Pro,32613,売上,確定,添付済み,,2025-04-05,未申請,共通 - ChatGPT Pro,8986
29,2025-03-07,ＪＲヒガシニホン　ミドリノマドグチ コーポレートカード,3280,売上,確定,未添付,,"",未申請,コーポレートカード,4538
30,2025-03-07,ローソン コーポレートカード,928,売上,確定,未添付,,"",未申請,コーポレートカード,4538
31,2025-03-07,ＪＲ東海 コーポレートカード,3280,売上,確定,未添付,,"",未申請,コーポレートカード,4538
32,2025-03-07,丸の内ビルディング コーポレートカード,19351,売上,確定,未添付,,"",未申請,コーポレートカード,4538
33,2025-03-05,魚商　小田原六左衛門／ＮＦＣ コーポレートカード,510,売上,確定,未添付,,"",未申請,コーポレートカード,4538
34,2025-03-05,ローソン コーポレートカード,592,売上,確定,未添付,,"",未申請,コーポレートカード,4538
35,2025-03-05,ＪＲヒガシニホン　ミドリノマドグチ コーポレートカード,3280,売上,確定,未添付,,"",未申請,コーポレートカード,4538
36,2025-03-04,ﾗｸﾃﾝﾍﾟｲ ｽﾐﾋﾞﾔｷﾆｸﾎﾙﾓﾝｻｶﾊ コーポレートカード,9480,売上,確定,未添付,,"",未申請,コーポレートカード,4538
37,2025-03-04,"CURSOR, AI POWERED IDE HTH - Cursor",5169,売上,確定,添付済み,,2025-04-05,未申請,HTH - Cursor,7239
38,2025-03-02,OPENAI CHATGPT SUBSCR 嶺野 - ChatGPT,3322,売上,確定,添付済み,,2025-04-05,未申請,嶺野 - ChatGPT,5403
39,2025-03-01,GOOGLEGSUITE HEALTH-T コーポレートカード,10321,売上,確定,未添付,,"",未申請,コーポレートカード,4538
40,2025-03-01,"CURSOR, AI POWERED IDE HTH - Cursor",5773,売上,確定,添付済み,,2025-04-05,未申請,HTH - Cursor,7239
