"識別フラグ","伝票No","決算","取引日付","借方勘定科目","借方補助科目","借方部門","借方税区分","借方金額","借方税金額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方金額","貸方税金額","摘要","番号","期日","タイプ","生成元","仕訳メモ","付箋1","付箋2","調整","借方取引先名","貸方取引先名"
"2000","","","2024/03/04","会議費","","","","1850","168","現金","","","","1850","","カレー食事代 [インボイス:T5621001034992]","","","","","","0","","","ココイチレー小田原中央店","ココイチレー小田原中央店"
"2000","","","2024/07/13","外注費","","","","1320","120","現金","","","","1320","","「質問・アンケート」のお仕事のご相談","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/07/15","外注費","","","","5500","500","現金","","","","5500","","「質問・アンケート」のお仕事のご相談","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/07/19","外注費","","","","1100","100","現金","","","","1100","","「質問・アンケート」のお仕事のご相談","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/08/04","外注費","","","","2640","240","現金","","","","2640","","「質問・アンケート」のお仕事のご相談","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/09/13","外注費","","","","1320","120","現金","","","","1320","","質問・アンケートのお仕事のご相談","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/05/26","消耗品費","","","","1274","94","現金","","","","1274","","東京マカロンラス・東 [インボイス:T81800010315","","","","","","0","","","GIFT KIOSK（JR東海","GIFT KIOSK（JR東海"
"2000","","","2024/02/07","新聞図書費","","","","2618","238","現金","","","","2618","","UIデザインの教科書 [インボイス:T50111010219","","","","","","0","","","ヨドバシ.com","ヨドバシ.com"
"2000","","","2024/03/24","新聞図書費","","","","3740","340","現金","","","","3740","","Tailwind C [インボイス:T50111010219","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/05/26","新聞図書費","","","","4510","410","現金","","","","4510","","書籍購入（「生成AI [インボイス:T50111010219","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/07/28","新聞図書費","","","","3080","280","現金","","","","3080","","Figmaで作るUI [インボイス:T50111010219","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/08/10","新聞図書費","","","","2420","220","現金","","","","2420","","誠実な組織―信頼と推 [インボイス:T50111010219","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/01/06","接待交際費","","","","14248","1295","現金","","","","14248","","飲食代 [インボイス:T1234010013141]","","","","","","0","","","報徳楽座","報徳楽座"
"2000","","","2024/02/17","接待交際費","","","","1620","120","現金","","","","1620","","プレミアムショコラサ [インボイス:T9-0210-0103","","","","","","0","","","TIVOLI ちばりスイーツフ","TIVOLI ちばりスイーツフ"
"2000","","","2024/03/15","接待交際費","","","","6840","621","現金","","","","6840","","飲食代 [インボイス:T2011501012332]","","","","","","0","","","酒と魚と炙焼 新宿ろじ","酒と魚と炙焼 新宿ろじ"
"2000","","","2024/03/28","接待交際費","","","","2214","164","現金","","","","2214","","ストロベリーキャラメ [インボイス:T19021001032","","","","","","0","","","TIVOLI ちぼりスイーツフ","TIVOLI ちぼりスイーツフ"
"2000","","","2024/03/28","接待交際費","","","","5480","498","現金","","","","5480","","飲食代（クレジットカ [インボイス:T80210010372","","","","","","0","","","炭火やきとり快 小田原駅前店","炭火やきとり快 小田原駅前店"
"2000","","","2024/03/31","接待交際費","","","","14800","1318","現金","","","","14800","","飲食代（中華料理店での飲食）","","","","","","0","","","chinois歩歩路","chinois歩歩路"
"2000","","","2024/04/20","接待交際費","","","","9317","847","現金","","","","9317","","お食事代 [インボイス:T10210010345]","","","","","","0","","","くるりくるり","くるりくるり"
"2000","","","2024/05/10","接待交際費","","","","6985","635","現金","","","","6985","","飲食代（和牛炙り握り [インボイス:T10210010345","","","","","","0","","","くるりくるり","くるりくるり"
"2000","","","2024/05/20","会議費","","","","3150","286","現金","","","","3150","","食事代","","","","","","0","","","175°DENO担担麺 TOK","175°DENO担担麺 TOK"
"2000","","","2024/05/20","会議費","","","","1900","172","現金","","","","1900","","飲食代 [インボイス:T1234567890462]","","","","","","0","","","仏蘭西屋 銀座店","仏蘭西屋 銀座店"
"2000","","","2024/05/22","接待交際費","","","","6682","607","現金","","","","6682","","飲食代 [インボイス:T1021001034562]","","","","","","0","","","えん","えん"
"2000","","","2024/05/24","接待交際費","","","","6646","604","現金","","","","6646","","飲食代（ビール、ハイ [インボイス:T70104010011","","","","","","0","","","亀金名店","亀金名店"
"2000","","","2024/06/01","接待交際費","","","","5470","497","現金","","","","5470","","飲食代（コロナビール [インボイス:T50200010545","","","","","","0","","","ITALIAN BAR BAS","ITALIAN BAR BAS"
"2000","","","2024/06/01","接待交際費","","","","1188","88","現金","","","","1188","","花のガーデンカフェ  [インボイス:T19-0210-010","","","","","","0","","","TIVOLI ちほりスイーツフ","TIVOLI ちほりスイーツフ"
"2000","","","2024/06/01","接待交際費","","","","2919","265","現金","","","","2919","","カラオケ利用料　税理 [インボイス:T80111010562","","","","","","0","","","カラオケ館 野毛店","カラオケ館 野毛店"
"2000","","","2024/06/07","接待交際費","","","","5560","505","現金","","","","5560","","飲食代 [インボイス:T5021001034336]","","","","","","0","","","MORI-MESHI 小田原","MORI-MESHI 小田原"
"2000","","","2024/06/11","接待交際費","","","","40320","0","現金","","","","40320","","お食事代として [インボイス:T1021001089998]","","","","","","0","","","株式会社MCMF MECIMO","株式会社MCMF MECIMO"
"2000","","","2024/06/18","接待交際費","","","","21130","1921","現金","","","","21130","","食事代（消費税率10 [インボイス:T80100011525","","","","","","0","","","わさい寿司","わさい寿司"
"2000","","","2024/06/22","接待交際費","","","","6545","595","現金","","","","6545","","飲食代（シカクゲリー [インボイス:T20210010328","","","","","","0","","","legalo（株式会社エスアー","legalo（株式会社エスアー"
"2000","","","2024/06/29","接待交際費","","","","5863","533","現金","","","","5863","","飲食代 [インボイス:T1501090102684]","","","","","","0","","","Le Bar ? Vin 52","Le Bar ? Vin 52"
"2000","","","2024/06/29","接待交際費","","","","14509","1166","現金","","","","14509","","飲食代 [インボイス:T4011001123768]","","","","","","0","","","はりだた地どり福わ当合 渋谷","はりだた地どり福わ当合 渋谷"
"2000","","","2024/07/02","会議費","","","","3482","312","現金","","","","3482","","カフェでの飲食（2名 [インボイス:T20110010645","","","","","","0","","","カフェ ラミル（ラスカ小田原店","カフェ ラミル（ラスカ小田原店"
"2000","","","2024/07/05","会議費","","","","4812","412","現金","","","","4812","","飲食代（野菜とはん定食、サラダ、麺納豆、豆腐、カフェインレス","","","","","","0","","","青雲","青雲"
"2000","","","2024/07/26","会議費","","","","4796","436","現金","","","","4796","","飲食代（アリフィック [インボイス:T80100011720","","","","","","0","","","シュリンプ&オイスターハウス ","シュリンプ&オイスターハウス "
"2000","","","2024/08/07","会議費","","","","800","72","現金","","","","800","","カフェ利用 [インボイス:T4010001041864]","","","","","","0","","","CAF?きょうぶんかん","CAF?きょうぶんかん"
"2000","","","2024/09/07","接待交際費","","","","5940","440","現金","","","","5940","","TIVOLIセレクシ [インボイス:T19-0210-010","","","","","","0","","","TIVOLI ちぼりスイーツフ","TIVOLI ちぼりスイーツフ"
"2000","","","2024/09/10","接待交際費","","","","5820","529","現金","","","","5820","","飲食代 [インボイス:T8180001042033]","","","","","","0","","","若鯱家 アピタ四日市店","若鯱家 アピタ四日市店"
"2000","","","2024/09/11","会議費","","","","2780","252","現金","","","","2780","","松阪牛てまり寿司、は [インボイス:T31900020104","","","","","","0","","","酒場森下_内宮前店 飲食","酒場森下_内宮前店 飲食"
"2000","","","2024/09/11","接待交際費","","","","35000","3181","現金","","","","35000","","御飯食代として [インボイス:T9810631782329]","","","","","","0","","","料理屋おくやま","料理屋おくやま"
"2000","","","2024/09/12","会議費","","","","3260","257","現金","","","","3260","","人気セット料理 [インボイス:T4190002010058]","","","","","","0","","","若松屋","若松屋"
"2000","","","2024/09/21","接待交際費","","","","17600","1600","現金","","","","17600","","飲食代 [インボイス:T1000100038204]","","","","","","0","","","おくら 新横浜店","おくら 新横浜店"
"2000","","","2024/09/28","会議費","","","","4026","366","現金","","","","4026","","カフェでの飲食代（鮭 [インボイス:T20124010305","","","","","","0","","","和カフェ chawan","和カフェ chawan"
"2000","","","2024/01/04","通信費","","","","3853","350","現金","","","","3853","","home wifi  [インボイス:T10100010679","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
