"識別フラグ","伝票No","決算","取引日付","借方勘定科目","借方補助科目","借方部門","借方税区分","借方金額","借方税金額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方金額","貸方税金額","摘要","番号","期日","タイプ","生成元","仕訳メモ","付箋1","付箋2","調整","借方取引先名","貸方取引先名"
"2000","","","2024/03/04","接待交際費","","","","1850","168","現金","","","","1850","","接待飲食費","","","","","","0","","","ココイチレー小田原中央店","ココイチレー小田原中央店"
"2000","","","2024/07/13","外注費","","","","1320","120","現金","","","","1320","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/07/15","外注費","","","","5500","500","現金","","","","5500","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/07/19","外注費","","","","1100","100","現金","","","","1100","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/08/04","外注費","","","","2640","240","現金","","","","2640","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/09/13","外注費","","","","1320","120","現金","","","","1320","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/05/26","接待交際費","","","","1274","94","現金","","","","1274","","接待贈答費","","","","","","0","","","GIFT KIOSK（JR東海","GIFT KIOSK（JR東海"
"2000","","","2024/02/07","新聞図書費","","","","2618","238","現金","","","","2618","","書籍代","","","","","","0","","","ヨドバシ.com","ヨドバシ.com"
"2000","","","2024/03/24","新聞図書費","","","","3740","340","現金","","","","3740","","書籍代","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/05/26","新聞図書費","","","","4510","410","現金","","","","4510","","書籍代","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/07/28","新聞図書費","","","","3080","280","現金","","","","3080","","書籍代","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/08/10","新聞図書費","","","","2420","220","現金","","","","2420","","書籍代","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/01/06","接待交際費","","","","14248","1295","現金","","","","14248","","接待飲食費","","","","","","0","","","報徳楽座","報徳楽座"
"2000","","","2024/02/17","接待交際費","","","","1620","120","現金","","","","1620","","接待贈答費","","","","","","0","","","TIVOLI ちばりスイーツフ","TIVOLI ちばりスイーツフ"
"2000","","","2024/03/15","接待交際費","","","","6840","621","現金","","","","6840","","接待飲食費","","","","","","0","","","酒と魚と炙焼 新宿ろじ","酒と魚と炙焼 新宿ろじ"
"2000","","","2024/03/28","接待交際費","","","","2214","164","現金","","","","2214","","接待飲食費","","","","","","0","","","TIVOLI ちぼりスイーツフ","TIVOLI ちぼりスイーツフ"
"2000","","","2024/03/28","接待交際費","","","","5480","498","現金","","","","5480","","接待飲食費","","","","","","0","","","炭火やきとり快 小田原駅前店","炭火やきとり快 小田原駅前店"
"2000","","","2024/03/31","接待交際費","","","","14800","1318","現金","","","","14800","","接待飲食費","","","","","","0","","","chinois歩歩路","chinois歩歩路"
"2000","","","2024/04/20","接待交際費","","","","9317","847","現金","","","","9317","","接待飲食費","","","","","","0","","","くるりくるり","くるりくるり"
"2000","","","2024/05/10","接待交際費","","","","6985","635","現金","","","","6985","","接待飲食費","","","","","","0","","","くるりくるり","くるりくるり"
"2000","","","2024/05/20","接待交際費","","","","3150","286","現金","","","","3150","","接待飲食費","","","","","","0","","","175°DENO担担麺 TOK","175°DENO担担麺 TOK"
"2000","","","2024/05/20","接待交際費","","","","1900","172","現金","","","","1900","","接待飲食費","","","","","","0","","","仏蘭西屋 銀座店","仏蘭西屋 銀座店"
"2000","","","2024/05/22","接待交際費","","","","6682","607","現金","","","","6682","","接待飲食費","","","","","","0","","","えん","えん"
"2000","","","2024/05/24","接待交際費","","","","6646","604","現金","","","","6646","","接待飲食費","","","","","","0","","","亀金名店","亀金名店"
"2000","","","2024/06/01","接待交際費","","","","5470","497","現金","","","","5470","","接待飲食費","","","","","","0","","","ITALIAN BAR BAS","ITALIAN BAR BAS"
